1 f16c11_7.asc 3 Waypoints and terminal glide slope to IP ' F16 Aircraft ' Nov 30 2022 21:43:09
  0  0 63
time            vmach           pdynmc          dvba            psiblx          
thtblx          phiblx          alppx           phipx           alphax          
betax           erq             etbl            ppx             qqx             
rrx             VBEB1           VBEB2           VBEB3           SBEL1           
SBEL2           SBEL3           VBEL1           VBEL2           VBEL3           
dvbe            hbe             psivlx          thtvlx          alx             
anx             ayx             throttle        thrust          idle            
mil             max             stmarg          dma             dmde            
gmax            gminx           realp1          realp2          wnp             
zetp            realy1          realy2          wny             zety            
nl_gain         dwbh            wp_flag         delacx          delecx          
delrcx          alcomx          ancomx          altcom          zetlagr         
delax           delex           delrx           
0               0               0               3.47154         0.0027075       
0.399987        5058.02         1               -5.18633        -0.746172       
0               2.10049         3.45635         1000            0.7             
-4.98566        -0.990519       0               
2               0.54349         18596.7         182.861         24.842          
1.399           65.398          9.69063         -12.2134        9.47568         
-2.04083        -1.08722e-06    1.41421         -24.9591        10.0013         
-3.63148        180.258         -6.50137        30.0483         361.358         
29.7142         -994.126        176.292         48.5266         2.19538         
182.862         994.126         15.3903         -0.687892       3.91098         
4.15446         0.173458        0.77            51919.3         -2871.31        
51917.8         97942.5         -0.0145325      1.24848         -13.4237        
6.2089          -1.93012        -0.0889146      -2.33834        0               
0               0               0               3.47217         0.00271068      
0.399986        5039.93         1               -5.10687        0.0228251       
0               1.87442         3.08391         1000            0.7             
-5.19957        -0.169909       0               
2.1             0.543648        18607.9         182.915         25.5012         
2.14732         62.7197         9.32522         -10.9953        9.15743         
-1.77112        -1.37716e-06    1.41421         -29.0097        8.26706         
-4.06366        180.504         -5.64322        29.0614         378.938         
34.7495         -993.938        175.319         52.1448         1.53545         
182.915         993.938         16.564          -0.480966       3.69838         
4.02487         0.141988        0.77            51921.5         -2874.78        
51919.2         97950           -0.00881355     0.755852        -13.5961        
6.21266         -1.93129        -0.328545       -2.08486        0               
0               0               0               3.47322         0.00271523      
0.399986        5021.78         1               -4.99907        0.625815        
0               1.65667         2.70738         1000            0.7             
-5.00329        0.479391        0               
2.2             0.543882        18624.2         182.994         25.9332         
2.86404         59.6388         8.8399          -9.98707        8.70864         
-1.52728        -1.71115e-06    1.41421         -33.0785        6.13367         
-4.35202        180.826         -4.86775        27.6645         396.422         
40.1349         -993.824        174.369         55.5154         0.735455        
182.995         993.824         17.6604         -0.230272       3.41037         
3.82785         0.113465        0.77            51923.5         -2879.85        
51920.7         97959.8         -0.000539698    0.0461719       -13.7027        
6.21809         -1.93298        -0.952239       -1.44163        0               
0               0               0               3.47474         0.00272159      
0.399985        5003.58         1               -4.87948        0.938641        
0               1.45198         2.34715         1000            0.7             
-4.93306        0.87415         0               
2.3             0.544225        18647.8         183.109         26.1259         
3.51021         56.1552         8.23369         -9.15222        8.1311          
-1.30538        -2.07269e-06    1.41421         -36.7443        3.92084         
-4.57897        181.227         -4.16241        25.8621         413.815         
45.8424         -993.795        173.487         58.5819         -0.169763       
183.11          993.795         18.6585         0.0531195       3.07118         
3.58536         0.089248        0.77            51925.4         -2887.23        
51922.3         97973.1         0.0035181       -0.300894       -13.8197        
6.22595         -1.93543        0               0               1.30223         
0.91067         0               0               3.47694         0.00272961      
0.399985        4985.34         1               -4.63007        1.56211         
0               1.2647          2.01538         1000            0.7             
-4.70534        1.3072          0               
2.4             0.544676        18678.5         183.261         26.0656         
4.04331         52.3315         7.49249         -8.33782        7.41522         
-1.08361        -2.38778e-06    1.41421         -39.5412        1.20687         
-4.82713        181.701         -3.45729        23.6208         431.123         
51.8401         -993.86         172.699         61.3104         -1.14311        
183.263         993.86          19.5455         0.357388        2.68007         
3.28804         0.0666162       0.77            51927.2         -2896.92        
51924           97989.7         0.00367886      -0.315162       -13.8796        
6.23623         -1.93862        0               0               1.29731         
0.904397        0               0               3.47981         0.00273944      
0.399984        4967.07         1               -4.23354        1.92992         
0               1.09752         1.7209          1000            0.7             
-4.38195        1.90797         0               
2.5             0.545264        18718.6         183.458         25.7381         
4.41759         48.2747         6.61025         -7.19698        6.55988         
-0.826491       -2.56709e-06    1.41421         -40.7389        -1.41858        
-5.15339        182.243         -2.63855        20.9341         448.359         
58.0915         -994.023        172.052         63.6508         -2.10919        
183.461         994.023         20.302          0.658725        2.23591         
2.91626         0.0432812       0.77            51929.1         -2909.53        
51925.8         98010.7         0.00366578      -0.314715       -13.8899        
6.2496          -1.94277        0               0               1.28465         
0.901624        0               0               3.48353         0.00275098      
0.399983        4948.76         1               -3.4341         1.8013          
0               0.954555        1.47119         1000            0.7             
-3.68844        1.85487         0               
2.6             0.545995        18768.2         183.704         25.1899         
4.62882         44.2042         5.64584         -5.03192        5.62564         
-0.494531       -2.45297e-06    1.41421         -39.3491        -3.51562        
-5.48019        182.816         -1.57859        17.9895         465.539         
64.5568         -994.279        171.573         65.5888         -2.99645        
183.706         994.279         20.9209         0.934596        1.79745         
2.52886         0.0141288       0.77            51931.2         -2925.18        
51927.8         98036.4         0.00022322      -0.0192324      -13.9054        
6.26616         -1.94792        0               0               1.14937         
0.994028        0               0               3.48815         0.00276324      
0.399983        4930.42         1               -2.47281        1.7048          
0               0.837444        1.26984         1000            0.7             
-2.74832        1.74654         0               
2.7             0.546842        18825.7         183.988         24.4814         
4.68102         40.3733         4.66734         -0.887898       4.66824         
-0.0722684      -2.08438e-06    1.41421         -35.7077        -5.15396        
-5.66529        183.381         -0.225953       14.9604         482.679         
71.1965         -994.618        171.261         67.1445         -3.7519         
183.991         994.618         21.4081         1.16844         1.38628         
2.13966         -0.0232118      0.77            51933.4         -2943.3         
51930           98065.9         -0.00393301     0.340248        -13.8578        
6.28537         -1.95389        -0.547476       -1.7178         0               
0               0               0               3.48738         0.00277238      
0.399982        4912.05         1               -1.4449         1.3948          
0               0.745265        1.11443         1000            0.7             
-1.73418        1.49601         0               
2.8             0.547818        18892           184.315         23.6793         
4.58587         36.9898         3.75762         6.49038         3.73496         
0.424601        -1.56959e-06    1.41421         -30.3259        -6.24705        
-5.5937         183.923         1.37111         11.9966         499.797         
77.9743         -995.024        171.12          68.3576         -4.33136        
184.319         995.024         21.7754         1.34653         1.02146         
1.76765         -0.0676405      0.77            51935.9         -2964.16        
51932.4         98099.7         -0.00874986     0.760372        -13.6267        
6.3075          -1.96078        -0.261338       -2.00769        0               
0               0               0               3.47625         0.00277525      
0.399982        4893.65         1               -0.43521        0.943231        
0               0.676036        1.00013         1000            0.7             
-0.712682       1.08492         0               
2.9             0.548899        18965.6         184.678         22.8569         
4.36783         34.2009         3.01925         18.4236         2.86583         
0.95416         -1.03889e-06    1.41421         -23.9369        -6.74021        
-5.1395         184.425         3.07967         9.22618         516.908         
84.8581         -995.477        171.132         69.2742         -4.71109        
184.682         995.477         22.038          1.46173         0.710116        
1.42654         -0.117514       0.77            51938.6         -2987.26        
51935.1         98137.1         -0.011317       0.987536        -13.4585        
6.33207         -1.96841        -0.141487       -2.13101        0               
0               0               0               3.46683         0.00277744      
0.399981        4875.21         1               0.462507        0.317074        
0               0.62692         0.921181        1000            0.7             
0.22914         0.50193         0               
3               0.550051        19044.2         185.065         22.0924         
4.06374         32.0752         2.55241         34.7711         2.09772         
1.45575         -5.94794e-07    1.41421         -17.3584        -6.59051        
-4.21949        184.885         4.70507         6.76905         534.028         
91.8209         -995.959        171.273         69.9437         -4.88848        
185.069         995.959         22.2139         1.51361         0.4612          
1.13612         -0.166725       0.77            51941.5         -3011.89        
51938           98177           -0.012632       1.10685         -13.3869        
6.3583          -1.97657        -0.0850447      -2.19106        0               
0               0               0               3.45961         0.00277879      
0.39998         4856.73         1               1.13969         -0.258964       
0               0.594596        0.871861        1000            0.7             
0.977496        -0.104931       0               
3.1             0.551223        19124.3         185.458         21.4566         
3.70927         30.5959         2.36327         52.0692         1.45348         
1.86416         -2.91066e-07    1.41421         -11.4058        -5.9858         
-2.84027        185.304         6.03584         4.70129         551.166         
98.8404         -996.449        171.504         70.4187         -4.88405        
185.462         996.449         22.3228         1.50903         0.27482         
0.90339         -0.207874       0.77            51944.4         -3036.95        
51940.9         98217.6         -0.0128703      1.13386         -13.3981        
6.38506         -1.98489        -0.0749371      -2.20637        0               
0               0               0               3.45473         0.00277928      
0.39998         4838.22         1               1.55507         -0.775959       
0               0.575291        0.846298        1000            0.7             
1.46299         -0.640539       0               
3.2             0.552389        19204.2         185.85          21.0031         
3.32974         29.6743         2.32442         66.0872         0.942694        
2.12496         -1.19921e-07    1.41421         -6.57681        -5.06947        
-1.10292        185.7           6.89361         3.05694         568.33          
105.9           -996.931        171.795         70.7511         -4.72729        
185.853         996.931         22.3836         1.45751         0.147983        
0.729156        -0.234039       0.77            51947.4         -3061.88        
51943.9         98258           -0.0172912      1.55028         -13.4613        
6.41173         -1.99318        0.0955634       -2.39567        0               
0               0               0               3.45226         0.0027789       
0.399979        4819.66         1               1.73264         -1.18718        
0               0.565387        0.839324        1000            0.7             
1.70737         -1.0819         0               
3.3             0.553545        19283.5         186.237         20.765          
2.94176         29.1869         2.27626         75.589          0.566801        
2.20466         -4.4161e-08     1.41421         -3.0678         -3.98705        
0.82691         186.094         7.16674         1.84356         585.526         
112.988         -997.391        172.122         70.9928         -4.45279        
186.241         997.391         22.414          1.37            0.0759672       
0.610588        -0.240857       0.77            51950.4         -3086.58        
51946.8         98298.2         -0.0209978      1.90886         -13.5496        
6.43822         -2.00141        0.224343        -2.53954        0               
0               0               0               3.45223         0.00277762      
0.399978        4801.06         1               1.68391         -1.51413        
0               0.56145         0.84638         1000            0.7             
1.7184          -1.43063        0               
3.4             0.554693        19362.6         186.623         20.7542         
2.556           28.9956         2.11871         81.2608         0.322059        
2.09414         -2.52038e-08    1.41421         -0.924955       -2.83468        
2.75474         186.499         6.82193         1.05157         602.755         
120.097         -997.818        172.466         71.1916         -4.09462        
186.626         997.818         22.4302         1.25718         0.0535816       
0.543882        -0.226786       0.77            51953.5         -3111.12        
51949.9         98338.4         -0.023687       2.17577         -13.6187        
6.46462         -2.00962        0.31195         -2.63862        0               
0               0               0               3.45462         0.00277544      
0.399977        4782.42         1               1.44374         -1.75863        
0               0.560337        0.863499        1000            0.7             
1.52891         -1.69918        0               
3.5             0.555841        19441.9         187.008         20.9617         
2.18152         28.9635         1.81834         83.6795         0.200253        
1.80734         -3.33641e-08    1.41421         -0.0762288      -1.69562        
4.48891         186.918         5.90081         0.656746        620.019         
127.226         -998.208        172.81          71.391          -3.68552        
