TOF RNG ALT THETA RATE ALPHA ALPHADOT RATEDOT WDOT
0.2150 31.7691 1031.0129 0.7760 -0.1802 0.0462 -0.1344 -2.4286 4.5343
0.2160 32.0630 1031.2993 0.7758 -0.1827 0.0460 -0.1371 -2.4443 4.5623
0.2170 32.3582 1031.5869 0.7756 -0.1851 0.0459 -0.1398 -2.4598 4.5900
0.2180 32.6547 1031.8757 0.7754 -0.1876 0.0457 -0.1425 -2.4751 4.6173
0.2190 32.9525 1032.1658 0.7752 -0.1901 0.0456 -0.1453 -2.4903 4.6443
0.2200 33.2515 1032.4572 0.7750 -0.1926 0.0454 -0.1480 -2.5053 4.6709
0.2210 33.5519 1032.7498 0.7748 -0.1951 0.0453 -0.1508 -2.5201 4.6971
0.2220 33.8536 1033.0436 0.7746 -0.1976 0.0451 -0.1535 -2.5347 4.7230
0.2230 34.1566 1033.3387 0.7744 -0.2002 0.0450 -0.1563 -2.5491 4.7485
0.2240 34.4609 1033.6351 0.7742 -0.2027 0.0448 -0.1591 -2.5634 4.7736
0.2250 34.7665 1033.9327 0.7740 -0.2053 0.0447 -0.1619 -2.5774 4.7983
0.2260 35.0734 1034.2315 0.7738 -0.2079 0.0445 -0.1647 -2.5912 4.8226
0.2270 35.3816 1034.5316 0.7736 -0.2105 0.0443 -0.1675 -2.6048 4.8464
0.2280 35.6911 1034.8329 0.7734 -0.2131 0.0442 -0.1703 -2.6182 4.8698
0.2290 36.0019 1035.1355 0.7732 -0.2157 0.0440 -0.1732 -2.6314 4.8928
0.2300 36.3140 1035.4393 0.7730 -0.2183 0.0438 -0.1760 -2.6443 4.9153
0.2310 36.6274 1035.7444 0.7727 -0.2210 0.0437 -0.1789 -2.6570 4.9373
0.2320 36.9421 1036.0507 0.7725 -0.2237 0.0435 -0.1818 -2.6694 4.9588
0.2330 37.2581 1036.3582 0.7723 -0.2263 0.0433 -0.1846 -2.6816 4.9798
0.2340 37.5754 1036.6670 0.7721 -0.2290 0.0431 -0.1875 -2.6935 5.0003
0.2350 37.8940 1036.9771 0.7718 -0.2317 0.0429 -0.1904 -2.7051 5.0203
0.2360 38.2139 1037.2883 0.7716 -0.2344 0.0427 -0.1933 -2.7165 5.0398
0.2370 38.5352 1037.6009 0.7714 -0.2372 0.0425 -0.1962 -2.7276 5.0587
0.2380 38.8577 1037.9146 0.7711 -0.2399 0.0423 -0.1992 -2.7384 5.0770
0.2390 39.1815 1038.2296 0.7709 -0.2426 0.0421 -0.2021 -2.7489 5.0948
0.2400 39.5066 1038.5458 0.7706 -0.2454 0.0419 -0.2050 -2.7592 5.1120
0.2410 39.8330 1038.8633 0.7704 -0.2482 0.0417 -0.2080 -2.7691 5.1286
0.2420 40.1607 1039.1820 0.7702 -0.2509 0.0415 -0.2109 -2.7787 5.1447
0.2430 40.4898 1039.5020 0.7699 -0.2537 0.0413 -0.2139 -2.7880 5.1600
0.2440 40.8201 1039.8231 0.7696 -0.2565 0.0411 -0.2169 -2.7969 5.1748
0.2450 41.1517 1040.1456 0.7694 -0.2593 0.0409 -0.2198 -2.8056 5.1889
0.2460 41.4846 1040.4692 0.7691 -0.2621 0.0406 -0.2228 -2.8139 5.2024
0.2470 41.8189 1040.7941 0.7689 -0.2649 0.0404 -0.2258 -2.8218 5.2151
0.2480 42.1544 1041.1202 0.7686 -0.2678 0.0402 -0.2288 -2.8294 5.2272
0.2490 42.4912 1041.4476 0.7683 -0.2706 0.0400 -0.2318 -2.8367 5.2387
0.2500 42.8294 1041.7762 0.7681 -0.2734 0.0397 -0.2348 -2.8435 5.2494
0.2510 43.1688 1042.1060 0.7678 -0.2763 0.0395 -0.2378 -2.8500 5.2593
0.2520 43.5095 1042.4370 0.7675 -0.2791 0.0393 -0.2408 -2.8562 5.2686
0.2530 43.8516 1042.7693 0.7672 -0.2820 0.0390 -0.2438 -2.8619 5.2771
0.2540 44.1949 1043.1028 0.7669 -0.2849 0.0388 -0.2468 -2.8672 5.2848
0.2550 44.5395 1043.4375 0.7667 -0.2877 0.0385 -0.2498 -2.8722 5.2918
0.2560 44.8855 1043.7735 0.7664 -0.2906 0.0383 -0.2528 -2.8767 5.2980
0.2570 45.2327 1044.1107 0.7661 -0.2935 0.0380 -0.2558 -2.8808 5.3034
0.2580 45.5813 1044.4491 0.7658 -0.2964 0.0378 -0.2589 -2.8845 5.3080
0.2590 45.9311 1044.7888 0.7655 -0.2992 0.0375 -0.2619 -2.8878 5.3118
0.2600 46.2822 1045.1296 0.7652 -0.3021 0.0372 -0.2649 -2.8906 5.3147
0.2610 46.6347 1045.4717 0.7649 -0.3050 0.0370 -0.2679 -2.8930 5.3168
0.2620 46.9884 1045.8151 0.7646 -0.3079 0.0367 -0.2709 -2.8950 5.3180
0.2630 47.3435 1046.1596 0.7643 -0.3108 0.0364 -0.2739 -2.8965 5.3183
0.2640 47.6998 1046.5054 0.7639 -0.3137 0.0361 -0.2770 -2.8975 5.3178
0.2650 48.0575 1046.8524 0.7636 -0.3166 0.0359 -0.2800 -2.8980 5.3163
0.2660 48.4165 1047.2006 0.7633 -0.3195 0.0356 -0.2830 -2.8981 5.3140
0.2670 48.7767 1047.5500 0.7630 -0.3224 0.0353 -0.2860 -2.8977 5.3107
0.2680 49.1383 1047.9007 0.7627 -0.3253 0.0350 -0.2890 -2.8968 5.3064
0.2690 49.5012 1048.2525 0.7623 -0.3282 0.0347 -0.2920 -2.8953 5.3012
0.2700 49.8653 1048.6056 0.7620 -0.3311 0.0344 -0.2950 -2.8934 5.2951
0.2710 50.2308 1048.9599 0.7617 -0.3340 0.0341 -0.2980 -2.8910 5.2880
0.2720 50.5976 1049.3154 0.7613 -0.3369 0.0338 -0.3010 -2.8880 5.2798
0.2730 50.9657 1049.6722 0.7610 -0.3398 0.0335 -0.3040 -2.8845 5.2707
0.2740 51.3350 1050.0301 0.7607 -0.3426 0.0332 -0.3069 -2.8805 5.2605
0.2750 51.7057 1050.3893 0.7603 -0.3455 0.0329 -0.3099 -2.8759 5.2494
0.2760 52.0777 1050.7497 0.7600 -0.3484 0.0326 -0.3129 -2.8708 5.2371
0.2770 52.4510 1051.1113 0.7596 -0.3513 0.0323 -0.3158 -2.8651 5.2238
0.2780 52.8256 1051.4741 0.7593 -0.3541 0.0320 -0.3187 -2.8589 5.2095
0.2790 53.2015 1051.8381 0.7589 -0.3570 0.0317 -0.3217 -2.8521 5.1940
0.2800 53.5787 1052.2034 0.7586 -0.3598 0.0313 -0.3246 -2.8447 5.1775
0.2810 53.9572 1052.5698 0.7582 -0.3627 0.0310 -0.3275 -2.8367 5.1598
0.2820 54.3370 1052.9375 0.7578 -0.3655 0.0307 -0.3304 -2.8281 5.1411
