1 input_9_1_1 AGM6 Test Case.asc  Nov 30 2022 21:05:34
  0  0 53
time            vmach_m1        psiblx_m1       thtblx_m1       phiblx_m1       
SBEL1_m1        SBEL2_m1        SBEL3_m1        VBEL1_m1        VBEL2_m1        
VBEL3_m1        mseek_m1        mach_t1         SAEL1_t1        SAEL2_t1        
SAEL3_t1        VAEL1_t1        VAEL2_t1        VAEL3_t1        psivlx_t1       
thtvlx_t1       alt_t1          aax_t1          alx_t1          anx_t1          
mach_a1         SAEL1_a1        SAEL2_a1        SAEL3_a1        VAEL1_a1        
VAEL2_a1        VAEL3_a1        psivlx_a1       thtvlx_a1       alt_a1          
STCEL11_a1      STCEL12_a1      STCEL13_a1      VTCEL11_a1      VTCEL12_a1      
VTCEL13_a1      STCEL21_a1      STCEL22_a1      STCEL23_a1      VTCEL21_a1      
VTCEL22_a1      VTCEL23_a1      STCEL31_a1      STCEL32_a1      STCEL33_a1      
VTCEL31_a1      VTCEL32_a1      VTCEL33_a1      
16007.8         1992.25         -7854.31        419.465         110.645         
-24.1672        2               0.01471         33093.1         9803.16         
-100            3.86569         -3.17133        0               -39.3648        
-0              100             0               0.01            1               
0.958698        13345.7         0               -6779.34        300.247         
0               5.01933         0               -0.957746       6779.34         
33108           9802.5          -151.813        3.72794         -3.08383        
0.302163        0               0               0               0               
0               0               0               0               0               
0               0               0               
46              1.39974         13.1785         5.43869         0.132902        
16428.8         2104.8          -7876.64        422.51          114.46          
-20.4123        2               0.01471         33097           9800.03         
-100            3.92722         -3.09481        0               -38.2396        
-0              100             0               0.01            1               
0.959157        13646           0               -6774.32        300.41          
0               5.02207         0               -0.957746       6774.32         
33099.2         9794.71         -102.414        2.59545         -3.47114        
0.0250732       0               0               0               0               
0               0               0               0               0               
0               0               0               
47              1.41165         13.5833         4.65834         0.110577        
16852.8         2221.19         -7894.98        425.567         118.335         
-16.2126        2               0.01471         33101           9796.97         
-100            3.98724         -3.01709        0               -37.1144        
-0              100             0               0.01            1               
0.959616        13946.5         0               -6769.3         300.574         
0               5.02481         0               -0.957746       6769.3          
33091.4         9796.76         -76.5111        4.92337         -2.94238        
0.154063        0               0               0               0               
0               0               0               0               0               
0               0               0               
48              1.42367         14.0236         3.84849         0.0907943       
17279.9         2341.49         -7908.94        428.609         122.278         
-11.6398        2               0.01471         33105           9793.99         
-100            4.04572         -2.93822        0               -35.9892        
-0              100             0               0.01            1               
0.960075        14247.1         0               -6764.27        300.738         
0               5.02755         0               -0.957746       6764.27         
33093           9814.99         -106.874        3.31541         -2.77747        
-0.771463       0               0               0               0               
0               0               0               0               0               
0               0               0               
49              1.43579         14.4758         2.98885         0.0622655       
17710           2465.8          -7918.12        431.608         126.352         
-6.65807        2               0.0147101       33109.1         9791.09         
-100            4.10264         -2.8582         0               -34.864         
-0              100             0               0.01            1               
0.960533        14547.9         0               -6759.24        300.902         
0               5.03029         0               -0.957746       6759.24         
33110.7         9810.8          -141.965        5.01281         -2.01384        
-0.0350254      0               0               0               0               
0               0               0               0               0               
0               0               0               
50              1.44801         14.8978         2.05384         0.0313865       
18143.1         2594.22         -7922.11        434.563         130.5           
